id,lat,lon,amenity,type
28303,51.383876,-0.4212644,parking,transportation
75215,51.3827864,-0.4299416,parking,transportation
108042,51.5235442,-0.1355991,pub,food and drinks
108539,51.5291251,-0.0933878,bicycle_rental,transportation
109575,51.5282624,-0.1431214,other,other
451152,51.6008404,-0.1946078,pub,food and drinks
451153,51.6020306,-0.1935029,restaurant,food and drinks
451154,51.5995863,-0.1960052,pub,food and drinks
451156,51.5996316,-0.197601,place_of_worship,other
451271,51.6141038,-0.1765046,pub,food and drinks
469648,51.6323613,-0.2002582,place_of_worship,other
699763,51.5050712,-0.2164171,place_of_worship,other
892479,51.3733104,-0.4059463,fuel,services
892979,51.3856574,-0.4133737,place_of_worship,other
1080949,51.376394,-0.474011,parking,transportation
2956081,51.4361649,-0.0213539,parking,transportation
2956183,51.4452646,-0.0224697,parking,transportation
2956184,51.4442475,-0.0179993,parking,transportation
2956185,51.4485451,-0.0180593,parking,transportation
2956187,51.4450842,-0.0213225,public_building,government
2956473,51.4577577,-0.0059386,parking,transportation
3042477,51.4230094,-0.022135,parking,transportation
3184215,51.2924431,-0.3366148,parking,transportation
3210224,51.599014,-0.1965456,post_box,services
3345045,51.4025663,-0.3423602,parking,transportation
3541789,51.4080737,-0.3466912,parking,transportation
3787243,51.4764565,-0.2328019,parking,transportation
3979215,51.2970497,-0.3298977,parking,transportation
3979216,51.2896925,-0.3354912,parking,transportation
3979217,51.291764,-0.3337344,parking,transportation
3979265,51.2912005,-0.3183992,parking,transportation
3979309,51.2946557,-0.3190163,parking,transportation
3979310,51.2941706,-0.3186513,parking,transportation
3981200,51.45411,-0.0104644,parking,transportation
3989907,51.4115963,-0.3342074,parking,transportation
4038654,51.4440395,0.0056296,parking,transportation
4055100,51.5571464,-0.3424208,parking,transportation
4068461,51.5541506,-0.3479878,school,educational
4075880,51.4273581,-0.0132438,parking,transportation
4075882,51.4265699,-0.0127328,parking,transportation
4075884,51.4273648,-0.0130721,parking,transportation
4075898,51.4282407,-0.0135812,parking,transportation
4075901,51.430606,-0.0144401,parking,transportation
