,id,amenity,est,nor,Ai,centers,label
0,108042,pub,529440.033,182161.332,138.55,False,121
1,108539,bicycle rental,532352.034,182857.383,58.74,False,43
3,451152,pub,525134.348,190654.281,18.55,False,135
4,451153,restaurant,525207.595,190788.528,15.46,False,135
5,451154,pub,525041.014,190512.428,18.89,False,135
6,451156,place of worship,524930.372,190514.737,15.51,False,135
7,451271,pub,526351.277,192160.391,20.26,False,115
9,699763,place of worship,523883.78,179967.357,42.72,False,151
10,2838058,park,532129.983,197947.817,12.01,False,96
12,2903368,park,532467.047,197703.37,16.59,False,96
13,2903369,park,532782.041,197573.399,13.47,False,96
15,2914274,park,525195.414,190280.946,15.32,False,135
17,2939009,park,532490.71,196231.171,20.26,False,96
24,2956183,parking,537543.027,173699.903,16.95,False,76
25,2956184,parking,537819.869,173581.255,11.71,False,76
30,3178749,park,526838.1,181245.087,150.12,False,133
31,3241371,park,530106.403,181972.507,115.1,False,121
32,3241840,park,529891.86,182339.461,108.37,False,121
41,3667185,park,524852.958,175233.624,13.44,False,154
42,3678121,garden,523128.187,174474.368,12.6,False,154
47,3725111,park,532180.031,197553.173,12.37,False,96
58,3986346,park,526392.855,180201.582,13.89,False,54
59,3988895,park,522695.48,189280.868,16.58,False,87
70,4006015,park,517711.993,175596.42,12.99,False,74
74,4020620,park,515146.752,185476.934,14.41,False,138
82,4049350,park,517243.137,179685.978,13.23,False,141
85,4072806,park,524191.475,183431.284,24.12,False,79
87,4075108,park,530926.434,181470.645,113.98,False,94
88,4075111,garden,530988.75,181329.074,106.93,False,94
95,4076420,place of worship,531558.127,181129.943,121.04,False,94
102,4076629,parking,537302.26,173383.619,13.88,False,76
103,4076630,parking,537310.641,173493.533,17.16,False,76
116,4081035,park,528686.346,182116.649,68.08,False,98
117,4081036,park,528656.031,182232.34,53.03,False,98
118,4081049,park,528378.296,180794.952,129.7,False,133
120,4082666,park,527614.123,183843.653,16.14,False,98
121,4085758,park,527979.245,163536.702,12.29,False,102
122,4089846,parking,515385.063,180224.182,24.05,False,142
123,4089847,parking,515618.215,180121.878,22.46,False,142
125,4090239,park,514744.647,186723.252,18.29,False,129
126,4090241,park,515039.145,187471.158,16.65,False,97
127,4097473,park,531280.53,189061.197,14.39,False,117
128,4097475,school,531357.698,189165.709,18.82,False,117
129,4097476,park,531702.054,187416.756,19.86,False,37
132,4112798,park,525563.295,173792.916,15.95,False,162
136,4134680,park,532286.262,196879.523,14.61,False,96
139,4180556,park,528593.462,195503.954,17.52,False,51
145,4227933,parking,525351.444,175081.734,27.72,False,162
147,4234606,school,530727.287,188706.108,14.12,False,11
150,4239295,school,535654.246,183770.616,25.56,False,150
151,4239815,park,525146.896,176486.429,49.35,False,149
152,4240417,park,527093.825,175064.371,62.79,False,136
153,4240903,parking,513736.215,185519.315,13.34,False,129
159,4243023,supermarket,523139.042,184589.563,18.99,False,65
160,4243024,parking,523064.981,184605.947,20.2,False,65
161,4244828,park,523042.769,180529.119,19.28,False,151
162,4244829,park,523501.825,179865.768,77.14,False,151
169,4251186,park,517403.003,180257.653,28.56,False,141
170,4251190,park,516655.653,180365.639,19.01,False,142
174,4252522,park,524975.739,175987.892,20.65,False,149
175,4252532,park,525518.607,175998.717,26.04,False,149
176,4253286,park,529851.459,182143.588,110.58,False,121
177,4253288,park,529765.78,182244.072,107.48,False,121
179,4253431,park,529839.192,181663.596,189.18,False,13
180,4253511,garden,529692.547,182506.365,107.96,False,121
181,4253527,park,531609.599,179062.184,40.76,False,72
182,4253646,park,530356.197,181985.818,118.95,False,121
183,4253657,park,530612.333,181705.497,139.42,False,94
184,4253887,park,528770.767,180597.322,170.42,False,13
185,4253932,park,530586.924,180751.169,176.67,False,72
186,4253966,park,530046.497,182545.456,121.55,False,121
187,4254099,park,530489.85,180522.911,140.39,False,13
192,4255883,park,531958.647,181907.567,118.51,False,94
193,4255959,park,533927.648,175376.758,35.92,False,5
194,4256144,park,530350.752,182794.116,124.13,False,121
195,4256229,park,529363.092,180835.476,347.92,False,13
196,4256244,hotel,530177.38,182207.698,128.87,False,121
197,4256264,park,530569.205,178174.626,48.36,False,132
198,4256358,hospital,530462.876,182061.039,111.19,False,121
199,4256651,playground,530606.294,178277.761,43.98,False,132
200,4256950,park,530340.949,180189.353,82.0,False,72
201,4256953,park,530305.788,180004.816,51.66,False,72
202,4256976,garden,528783.655,179554.001,39.78,False,144
203,4256999,garden,528865.403,179271.972,78.88,False,82
204,4257005,park,528708.399,179265.012,61.47,False,82
205,4257006,park,528828.127,179137.11,90.95,False,82
206,4257232,park,529350.927,182712.758,83.12,False,121
207,4257343,playground,514921.766,185260.302,11.55,False,138
209,4258095,park,529598.399,179322.589,105.07,False,82
210,4258101,park,529329.379,179082.09,107.88,False,82
212,4259619,park,529963.59,179391.708,58.22,False,82
213,4259627,park,530168.729,179339.015,45.65,False,72
214,4259687,park,530259.363,179161.684,39.94,False,132
215,4259726,park,530046.762,178929.078,54.9,False,82
218,4259880,sports centre,529562.116,178793.396,83.85,False,82
219,4259897,park,530068.299,178344.495,35.65,False,132
220,4259902,park,529985.878,178605.852,43.39,False,82
221,4259910,park,529838.58,178536.738,52.5,False,82
222,4260006,playground,530810.995,179284.692,45.32,False,72
223,4260009,park,530811.413,179242.842,44.04,False,72
224,4260010,garden,530683.947,179228.247,36.59,False,72
231,4268231,park,515344.77,187912.849,41.76,False,97
232,4268232,parking,515726.398,188025.526,37.26,False,97
233,4268233,park,515342.834,187767.672,26.73,False,97
236,4270104,park,544058.612,189701.236,15.08,False,131
243,4270739,park,532225.252,181782.951,92.79,False,94
244,4270744,park,532177.967,181986.801,95.85,False,94
245,4271138,hospital,533480.714,192252.194,12.33,False,127
249,4272920,park,529524.286,181684.347,254.41,False,13
255,4287154,park,530003.873,189074.106,14.91,False,11
259,4292234,parking,534349.232,193362.976,16.72,False,127
262,4296209,parking,534673.254,193750.841,11.97,False,125
267,4315778,park,530933.836,181832.555,110.75,False,94
272,4338882,supermarket,526352.342,194087.059,27.24,False,14
273,4338883,supermarket,526342.743,194459.647,18.51,False,14
276,4344560,park,528243.219,165955.634,15.93,False,110
277,4344588,park,527603.352,165554.198,25.34,False,110
278,4344589,park,527647.764,165495.255,28.21,False,110
279,4344591,park,527711.8,165442.343,29.99,False,110
280,4344595,park,527779.143,165479.967,26.79,False,110
282,4345905,parking,537902.118,174656.783,12.62,False,76
283,4345973,parking,537907.023,174802.761,16.33,False,76
285,4346333,parking,537776.543,173643.614,13.24,False,76
292,4357123,park,531807.693,176675.01,19.83,False,4
293,4358388,sports centre,526642.034,166576.022,18.81,False,39
294,4358458,park,529508.549,180342.389,165.68,False,13
295,4358719,marketplace,532349.17,178258.046,43.05,False,132
296,4358794,school,526968.405,167101.472,13.03,False,39
297,4363425,park,527925.338,179257.127,76.78,False,144
298,4363426,park,527963.97,179050.411,57.26,False,144
299,4363427,garden,527786.828,178954.914,56.99,False,144
300,4363428,garden,527606.656,178997.002,56.08,False,144
301,4363438,park,528402.597,179055.735,50.8,False,144
305,4364488,park,528050.975,177193.609,12.1,False,81
306,4364605,park,525412.515,185249.359,17.41,False,25
307,4364957,park,524780.725,186902.469,12.06,False,156
308,4366294,place of worship,536781.376,181032.255,29.15,False,22
309,4372002,museum,529949.825,180537.553,222.33,False,13
310,4373996,garden,530707.816,180012.488,63.9,False,72
318,4380345,park,523988.315,176184.045,20.57,False,154
319,4382815,park,530106.836,181410.172,254.96,False,13
320,4382816,park,530105.824,181335.003,279.58,False,13
322,4384279,park,526025.402,172318.825,13.86,False,57
324,4389729,stadium,526163.658,171814.095,14.05,False,123
325,4392726,park,515692.482,185381.1,12.94,False,138
326,4392742,parking,515348.131,185407.359,23.39,False,138
328,4393572,park,530336.701,181665.94,161.05,False,13
330,4401812,parking,528201.54,196403.686,20.08,False,51
340,4404347,school,532338.472,197887.191,13.8,False,96
342,4406050,parking,523865.537,185984.488,37.08,False,65
343,4406359,park,534603.116,184188.456,24.78,False,150
344,4407135,park,513595.061,185868.252,13.42,False,129
347,4408761,school,505926.97,182997.669,14.69,False,90
348,4409075,university,506147.64,182633.623,25.73,False,90
349,4409715,university,535025.564,195908.234,23.1,False,124
353,4411324,parking,535421.379,172769.808,51.5,False,40
355,4412371,park,537265.427,175296.83,16.22,False,30
366,4413701,park,536520.967,174248.846,12.63,False,76
373,4414101,school,528635.235,195898.692,19.86,False,51
376,4415306,park,526645.699,174592.691,23.4,False,18
377,4416362,park,527541.677,176035.208,40.47,False,136
378,4416363,park,527476.031,175980.175,44.56,False,136
379,4416384,park,526728.923,175862.737,38.99,False,136
382,4420784,school,532797.678,197018.12,17.74,False,96
383,4420787,school,532643.5,196930.5,21.22,False,96
384,4420816,school,532669.595,196662.683,44.73,False,96
387,4421339,school,534211.808,196537.96,12.92,False,96
388,4421341,parking,534116.163,196509.169,12.44,False,96
391,4421347,parking,534161.147,196398.524,13.06,False,85
392,4421348,cinema,534243.808,196383.17,12.51,False,124
393,4422151,park,525873.815,176508.256,38.51,False,149
397,4425872,parking,505372.262,184083.288,22.25,False,140
402,4443314,school,535833.412,198249.705,14.95,False,122
407,4452352,park,535458.4,195837.844,25.51,False,124
410,4477132,park,524454.163,196310.304,26.63,False,109
412,4481793,park,532644.979,186411.667,17.46,False,61
414,4483968,park,539072.102,177262.234,17.51,False,16
415,4487637,park,536012.502,183979.219,15.4,False,60
416,4487926,track,535431.98,178934.126,21.81,False,0
417,4487927,park,535196.802,179164.61,16.61,False,0
418,4488669,park,526196.894,177219.453,27.05,False,149
424,4566319,park,535056.196,181530.835,48.12,False,22
425,4629282,parking,533213.679,175487.075,22.1,False,5
426,4629309,stadium,533197.38,175380.77,22.1,False,5
427,4629310,park,533329.247,175425.74,28.74,False,5
428,4629356,playground,534097.357,175417.636,29.54,False,5
430,4643195,swimming pool,531665.579,174374.463,24.4,False,50
431,4647094,school,533688.314,175358.825,43.75,False,5
432,4652279,park,534097.716,175429.586,29.3,False,5
433,4652365,school,534039.948,175555.932,26.2,False,5
434,4680796,park,528507.648,184741.978,44.03,False,98
435,4680850,park,529200.885,183219.617,73.43,False,98
436,4680891,library,529967.834,182890.372,110.06,False,121
437,4701427,park,527778.972,176365.75,36.67,False,136
438,4701535,park,526822.009,176391.723,33.1,False,149
442,4756940,park,526975.72,177181.967,36.58,False,149
